date,slot,utm_campaign,campaign_id,title_template,content_template,cohort_size,push_impressions,utm_visited,ctr%,last_updated
31/03/2026,Evening,31March_MP_2_Clinic_xxRAJ,,New vet spot dropped near you 📍🐾,"Hey {pet parent}, Rajaji Nagar now has a clinic for stress-free visits. {your pet} might actually enjoy this one. 👀💜",4752,557,3,0.54,2026-04-09 19:17:54
31/03/2026,Evening,31March_MP_3_Clinic_xSKIN,,That scratch wasn’t random btw 👀🐾,"{pet parent}, skin issues often start small. Early care keeps {your pet}'s coat healthy & comfy. 💜",14636,6872,22,0.32,2026-04-09 19:17:54
31/03/2026,Evening,31March_MP_4_Clinic_xxGUT,,Zoomies start in the gut 🐾⚡,"{pet parent}, digestion affects mood, energy & appetite. A healthy gut keeps {your pet} feeling their best. 💜",5385,2565,12,0.47,2026-04-09 19:17:54
31/03/2026,Evening,31March_MP_5_Clinic_xDENT,,That yawn revealed too much 👀🦷,"{pet parent}, plaque builds up silently over time. Regular checks keep {your pet}'s smile healthy. 💜",1198,509,2,0.39,2026-04-09 19:17:54
31/03/2026,Evening,31March_MP_6_Clinic_xxN2B,,Your pet has questions👀🐾,We've answers. Get the right care with expert vet guidance & support for {your pet}. 💜,87010,9851,13,0.13,2026-04-09 19:17:54
01/04/2026,Evening,1April_MP_1_Clinic_xxxKR,,We're closer to {your pet} now👉👈,It's time to visit Supertails+ Clinic in KR Puram with {your pet} for stress-free care by the Fear-Free certified vets.🏥💜,5660,547,1,0.18,2026-04-09 19:17:54
01/04/2026,Evening,1April_MP_2_Clinic_xxRAJ,,{your pet} hears 3x times better than you👂💪,"So, they heard ""stress-free care"", & now you must drop by Supertails+ Clinic in Rajajinagar to see it yourself, {pet parent}.😎💁",4818,488,3,0.61,2026-04-09 19:17:54
01/04/2026,Evening,1April_MP_3_Clinic_xSKIN,,{Your pet}'s skin shows all signs🐾,A tiny discomfort can cause bigger problems later. Get {your pet}'s skin checked today for FREE.🏥💜,14630,599,2,0.33,2026-04-09 19:17:54
01/04/2026,Evening,1April_MP_4_Clinic_xxGUT,,"Listen to {your pet}'s gut, {pet parent}!🐾",A healthy gut keeps {your pet} happy outside. Noticing any changes? Book their gut check-up for FREE today!🏥💜,5378,278,0,0.00,2026-04-09 19:17:54
01/04/2026,Evening,1April_MP_5_Clinic_xDENT,,Pale patch on {your pet}'s teeth?🦷😟,It could be a small sign of tartar buildup. Book a dental check-up at Supertails+ Clinic for FREE.🩺🏥,1197,65,2,3.08,2026-04-09 19:17:54
01/04/2026,Evening,1April_MP_6_Clinic_xxN2B,,Let {your pet} break the queue...🐾🚦,"Cause they are yet to try stress-free care, only at Supertails+ Clinic. Walk in today, {pet parent}.🩺🏥",87911,8863,14,0.16,2026-04-09 19:17:54
03/04/2026,Morning,03April_MP_1_Clinic_Grooming_xxREP,,Friday fluff reset 🐾✨,Weekend’s close. Get {your pet} groomed & ready to shine 🐾😎,52,16,0,0.00,2026-04-09 19:17:54
03/04/2026,Morning,03April_MP_2_Clinic_xxxKR,,What's {your pet} planning?👀🐾,"{Pet parent}, start the weekend early with {your pet}'s wholesome care, only at Supertails+ Clinic🐾✨",5612,969,1,0.10,2026-04-09 19:17:54
03/04/2026,Morning,03April_MP_3_Clinic_xSKIN,,Skin acting up? 🐾👀,"If {your pet}'s itchy, it's time for a quick skin check. Visit Supertails+ Clinic, it's on us!🐾✨",14710,7500,13,0.17,2026-04-09 19:17:54
03/04/2026,Morning,03April_MP_4_Clinic_xxGUT,,Tummy talks matter 🐾🥣,"{Your pet}'s gut needs love, too. Drop by for a quick check-up at zero cost. 🐾💛",5411,2756,4,0.15,2026-04-09 19:17:54
03/04/2026,Morning,03April_MP_5_Clinic_xDENT,,Smile check Friday 😁🐾,Keep {your pet}'s teeth & gums healthy. A quick dental visit is on us!🐾✨,1200,515,0,0.00,2026-04-09 19:17:54
03/04/2026,Morning,03April_MP_6_Clinic_xxN2B,,"Friday scenes, sorted?👀🐾","{Pet parent}, step out. Bangalore days are better with {your pet} 🐾🌆",91903,11146,38,0.34,2026-04-09 19:17:54
04/04/2026,Morning,04April_MP_1_Clinic_xxxKR,,The secret's out!📢,The new Supertails+ Clinic in KR Puram is open. Come & experience {your pet}'s stress-free care by Fear-Free certified vets.💜✨,5631,892,4,0.45,2026-04-09 19:17:54
04/04/2026,Morning,04April_MP_2_Clinic_Grooming_xxREP,,Furr nourishment is a must!✨🎀,Routine grooming keeps {your pet}'s skin & coat nourished. Visit Supertails+ Clinic today!🛀🌟,49,15,0,0.00,2026-04-09 19:17:54
04/04/2026,Morning,04April_MP_3_Clinic_Vaccine_xxN2B,,This tiny jab is essential💉,Keep {your pet} protected throughout with vaccination. Drop by Supertails+ Clinic for FREE 1st vaccine.🏥💜,394,66,0,0.00,2026-04-09 19:17:54
04/04/2026,Morning,04April_MP_4_Clinic_Repeat_xxALL,,{your pet}: I loved it last-time👉👈,"Fear-Free certified vets, stress-free & calm care, await {your pet} for whenever they need us.💜✨",9500,1798,13,0.72,2026-04-09 19:17:54
04/04/2026,Morning,04April_MP_5_Clinic_xBDAY,,{your pet}'s b'day lasting just for a day?😟🐾,Surprise {your pet} with a grooming session that gives them a lasting glow. Walk in today & save 50%!✨🎀,3217,693,4,0.58,2026-04-09 19:17:54
04/04/2026,Morning,04April_MP_6_AHS_xxN2B,,Vroom vroom...we're coming 🚗🏡,"Fear-Free certified vets come home for vet consults, diagnostics, vaccinations or anything else, in just 60 mins. Book now.💜✨",91493,11123,27,0.24,2026-04-09 19:17:54
07/04/2026,Morning,07April_MP_1M_Clinic_Grooming_xxREP,,"It's not a one-time thing, {pet parent}✋❌","Routine grooming keeps {your pet} fresh, clean & helps regulate body heat. Drop by Supertails+ Clinic for a furresh grooming session.🏥💜",46,14,0,0.00,2026-04-09 19:17:54
07/04/2026,Morning,07April_MP_2M_Clinic_xxxKR,,"Choose what's accesible, {pet parent}🏥🚶",Supertails+ Clinic is now open in KR Puram. Walk in with {your pet} for a stress-free experience.💜,5660,891,2,0.22,2026-04-09 19:17:54
07/04/2026,Morning,07April_MP_3M_Clinic_xSKIN,,That itch isn’t just “a phase” 👀,Skin issues often build up silently. A quick vet check can save weeks of discomfort for {your pet}.,14706,7134,30,0.42,2026-04-09 19:17:54
07/04/2026,Morning,07April_MP_4M_Clinic_xxGUT,,Listen to {your pet}'s gut!🐾,"Digestive issues are very common for vet visits. So, start early care for {your pet}.",5408,2631,17,0.65,2026-04-09 19:17:54
07/04/2026,Morning,07April_MP_5M_Clinic_xDENT,,That breath says a lot 😬,Dental disease is common but missed. Early checks prevent pain & tooth loss.,1199,499,1,0.20,2026-04-09 19:17:54
07/04/2026,Morning,07April_MP_6M_Clinic_xxN2B,,Vet visits = underrated 👩‍⚕️,Regular checkups catch issues early and keep {your pet} healthier & happier.,92534,9970,26,0.26,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_1M_Clinic_Grooming_xxREP,,That coat needs a reset ✂️,Missed grooming can lead to matting & infections. Regular care keeps them comfy.,38,14,0,0.00,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_2M_Clinic_xxxKR,,"KR Puram, say hi 👋",A trusted clinic nearby means quicker care when it matters the most.,5679,1004,7,0.70,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_3M_Clinic_xxDWM,,Health check for {your pet}? 🛡️,Great job on the dewormer! Want a professional health check for {your pet}? Book a quick vet consult now.,967,340,0,0.00,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_4M_Clinic_xxCNP,,Free Dental Consult for {your pet}! 🦷🐾,Keep ahead of {your pet}’s specific health needs. Claim your completely free dental checkup at our clinic today!,9885,1837,4,0.22,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_5M_Clinic_xxGRP,,Summer cut for {your pet}? ☀️✂️,Don't let {your pet} overheat! Book a quick summer trim to keep them cool and comfy.,10685,2349,11,0.47,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_6M_Clinic_Vaccine_xxN2B,,Due means don’t delay ⏳,Delayed vaccines increase risk. Staying on schedule keeps {your pet} protected.,446,103,1,0.97,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_7M_Clinic_Repeat_xxALL,,Follow-ups matter more 🔁,Recovery isn’t complete without review. Vets track progress & prevent relapse.,9666,1890,8,0.42,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_8M_Clinic_xBDAY,,"Another year, new check 🐾",Annual vet visits help detect age-related changes before they become serious.,1295,254,1,0.39,2026-04-09 19:17:54
08/04/2026,Morning,08April_MP_9M_Clinic_N2B_xxAHS,,"Vet care, but at home 🏡",At-home consults reduce stress and help pets get timely medical attention.,72542,7524,22,0.29,2026-04-09 19:17:54
